id,Internal Reference,Supplier / Supplier,Name,Brand,Model,description,Category,Unit of Measure,Can be Sold,Can be Purchased,Product Type,Procurement Method,Supply Method,Supplier / Supplier Pricelist / Unit Price,Supplier / Supplier Pricelist / Quantity,Supplier / Delivery Lead Time,seller_ids/min_qty
Product_00866,05V1065,M&C TechGroup Germany GmbH,"GE PVDF DN   6/8 - G   1/4""",M&C,,"Male connector DN6/8-G1/4"", material: PVDF.",Fitting,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,11.7,1,30,1
Product_00867,05V1067,M&C TechGroup Germany GmbH,"GE PVDF DN  8/10 - G   1/4""",M&C,,"Male connector DN8/10-G1/4"", material: PVDF.",Fitting,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,15.3,1,30,1
Product_00868,05V1069,M&C TechGroup Germany GmbH,"GE PVDF DN  8/10 - G   3/8""",M&C,,"Male connector DN8/10-G3/8"", material: PVDF.",Fitting,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,18.8,1,30,1
Product_00869,05V1070,M&C TechGroup Germany GmbH,"GE PVDF DN 10/12 - G   1/4""",M&C,,"Male connector DN10/12-G1/4"", material: PVDF.",Fitting,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,22.6,1,30,1
Product_00870,05V1071,M&C TechGroup Germany GmbH,"GE PVDF DN 12/16 - G   1/4""",M&C,,"Male connector DN12/16-G1/4"", material: PVDF.",Fitting,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,59.6,1,30,1
Product_00871,05V1075,M&C TechGroup Germany GmbH,"GE PVDF DN   4/6 - G   3/8""",M&C,,"Male connector DN4/6-G3/8"", material: PVDF.",Fitting,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,14.2,1,30,1
Product_00872,05V1080,M&C TechGroup Germany GmbH,"GE PVDF DN   6/8 - G   3/8""",M&C,,"Male connector DN6/8-G3/8"", material: PVDF.",Fitting,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,17.4,1,30,1
Product_00873,05V1081,M&C TechGroup Germany GmbH,"GE PVDF DN   6/8 - G   1/2""",M&C,,"Male connector DN6/8-G1/2"", material: PVDF.",Fitting,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,27.6,1,30,1
Product_00874,05V1085,M&C TechGroup Germany GmbH,"GE PVDF DN 10/12 - G   3/8""",M&C,,"Male connector DN10/12-G3/8"", material: PVDF.",Fitting,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,24.5,1,30,1
Product_00875,05V1087,M&C TechGroup Germany GmbH,"GE PVDF DN 10/12 - G   1/2""",M&C,,"Male connector DN10/12-G1/2"", material: PVDF.",Fitting,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,28.2,1,30,1
Product_00876,05V1090,M&C TechGroup Germany GmbH,"GE PP   DN   4/6 - G   1/8""",M&C,,"Male connector DN4/6-G1/8"", material: PP.",Fitting,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,2.93,1,30,1
Product_00877,05V1095,M&C TechGroup Germany GmbH,"GE PP   DN   6/8 - G   1/8""",M&C,,"Male connector DN6/8-G1/8"", material: PP.",Fitting,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,5.99,1,30,1
Product_00878,05V1100,M&C TechGroup Germany GmbH,"GE PP   DN 10/12 - G   1/8""",M&C,,"Male connector DN10/12-G1/8"", material: PP.",Fitting,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,14.1,1,30,1
Product_00879,05V1105,M&C TechGroup Germany GmbH,"GE PP   DN   4/6 - G   1/4""",M&C,,"Male connector DN4/6-G1/4"", material: PP.",Fitting,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,3.68,1,30,1
Product_00880,05V1110,M&C TechGroup Germany GmbH,"GE PP   DN   6/8 - G   1/4""",M&C,,"Male connector DN6/8-G1/4"", material: PP.",Fitting,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,6.3,1,30,1
Product_00881,05V1115,M&C TechGroup Germany GmbH,"GE PP   DN 10/12 - G   1/4""",M&C,,"Male connector DN10/12-G1/4"", material: PP.",Fitting,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,14.1,1,30,1
Product_00882,05V1120,M&C TechGroup Germany GmbH,"GE PP   DN   4/6 - G   3/8""",M&C,,"Male connector DN4/6-G3/8"", material: PP.",Fitting,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,7.3,1,30,1
Product_00883,05V1125,M&C TechGroup Germany GmbH,"GE PP   DN   6/8 - G   3/8""",M&C,,"Male connector DN6/8-G3/8"", material: PP.",Fitting,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,10.5,1,30,1
Product_00884,05V1130,M&C TechGroup Germany GmbH,"GE PP   DN 10/12 - G   3/8""",M&C,,"Male connector DN10/12-G3/8"", material: PP.",Fitting,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,14.4,1,30,1
Product_00885,05V1135,M&C TechGroup Germany GmbH,"GE PP   DN 10/12 - G   1/2""",M&C,,"Male connector DN10/12-G1/2"", material: PP.",Fitting,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,16.8,1,30,1
Product_00886,05V2045,M&C TechGroup Germany GmbH,"GE PVDF DN   4/6 - NPT 1/8""",M&C,,"Male connector DN4/6-NPT1/8"", material: PVDF.",Fitting,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,5.99,1,30,1
Product_00887,05V2050,M&C TechGroup Germany GmbH,"GE PVDF DN   6/8 - NPT 1/8""",M&C,,"Male connector DN6/8-NPT1/8"", material: PVDF.",Fitting,Ea,TRUE,TRUE,Stockable Product,Make to Stock,Buy,11.2,1,30,1
